	Feature	Coefficient
78	er_positive	0.0036789393911728944
14	X204014_at	0.0028818037120317773
13	X203391_at	0.0027353009622471565
4	X201288_at	0.002703549061407054
74	X221916_at	0.0026790477356934917
8	X202239_at	0.002270824796991754
12	X203306_s_at	0.0021869687362395984
39	X211779_x_at	0.0021428344824259596
75	X221928_at	0.0021388415568545475
15	X204015_s_at	0.0019567413857349255
66	X219724_s_at	0.0018455221363072691
5	X201368_at	0.0017181989846496626
20	X204740_at	0.0016494614213365937
11	X202687_s_at	0.0016246873925249371
44	X214919_s_at	0.0016127572556796615
25	X206295_at	0.0015748418222428563
58	X218478_s_at	0.0015653312495539132
79	grade_intermediate	0.0015642455125708596
1	X200965_s_at	0.0015158164216456907
46	X215633_x_at	0.0013697644493365368
37	X211382_s_at	0.0012929903534938452
63	X219340_s_at	0.0012790592714847773
55	X217771_at	0.001051808092349751
0	X200726_at	0.0009498972325106097
48	X216103_at	0.000920435799139493
72	X221816_s_at	0.0008528055156853579
81	grade_unkown	0.0008180570614562287
54	X217767_at	0.0007043179076471539
69	X221241_s_at	0.000630958392594495
28	X208683_at	0.0005326054648071663
57	X218430_s_at	0.000511322479346909
50	X217019_at	0.0005087095585830974
47	X216010_x_at	0.0003542371463486346
19	X204631_at	0.0003521047234669895
45	X215510_at	0.00033675639451381724
17	X204218_at	0.0003339909844947173
76	age	0.0002972703953573402
35	X210593_at	7.95511284312026e-05
70	X221344_at	6.33017946007136e-05
33	X210028_s_at	-2.8254252540301975e-05
24	X205848_at	-3.8456532864544684e-05
41	X212567_s_at	-9.538533441182375e-05
16	X204073_s_at	-9.684142635960786e-05
62	X218914_at	-0.00011580151033715044
51	X217102_at	-0.000137623718390793
56	X217815_at	-0.00013908998728693613
49	X216693_x_at	-0.0002495342864170301
71	X221634_at	-0.0003557321828665339
22	X204888_s_at	-0.00041091130102836567
30	X209524_at	-0.0004975345648756841
34	X210314_x_at	-0.0005058645720513532
59	X218533_s_at	-0.0005423929936099528
73	X221882_s_at	-0.0006382944758317206
32	X209862_s_at	-0.0006577106735960379
29	X209500_x_at	-0.000663882578200761
2	X201068_s_at	-0.0006816927639844551
65	X219588_s_at	-0.000688732194607478
52	X217404_s_at	-0.0007176453327087403
53	X217471_at	-0.0007516385922251299
31	X209835_x_at	-0.0008188519511237525
43	X214915_at	-0.0009919182880323099
40	X212014_x_at	-0.0012187842605803792
18	X204540_at	-0.0012270947017204948
42	X214806_at	-0.001238540465738972
67	X220886_at	-0.0012779458355659159
38	X211762_s_at	-0.00131318575550796
64	X219510_at	-0.0013259953156934626
10	X202418_at	-0.0013899870342219056
21	X204768_s_at	-0.0014443171851804442
26	X207118_s_at	-0.0015408293601310696
3	X201091_s_at	-0.001554012328110994
60	X218782_s_at	-0.00157577038682669
68	X221028_s_at	-0.0016912507449106848
36	X211040_x_at	-0.0018920932219235376
27	X208180_s_at	-0.0019248797303537696
7	X201664_at	-0.002025300602262466
6	X201663_s_at	-0.0021648532099425685
77	size	-0.0022282470207521075
23	X205034_at	-0.002239013036043093
80	grade_poorly differentiated	-0.002603244194898636
9	X202240_at	-0.003301804500238733
61	X218883_s_at	-0.003958065353465889
